Channels
--------
#     Name      Phys. Chn.    Resolution / Unit   Low Cutoff [s]   High Cutoff [Hz]   Notch [Hz]    Series Res. [kOhm] Gradient         Offset
1     Fp1         1                0.1 µV             10             1000              Off                0                 
2     Fp2         2                0.1 µV             10             1000              Off                0                 
3     F7          3                0.1 µV             10             1000              Off                0                 
4     F3          4                0.1 µV             10             1000              Off                0                 
5     Fz          5                0.1 µV             10             1000              Off                0                 
6     F4          6                0.1 µV             10             1000              Off                0                 
7     F8          7                0.1 µV             10             1000              Off                0                 
8     FC5         8                0.1 µV             10             1000              Off                0                 
9     FC1         9                0.1 µV             10             1000              Off                0                 
10    FC2         10               0.1 µV             10             1000              Off                0                 
11    FC6         11               0.1 µV             10             1000              Off                0                 
12    T7          12               0.1 µV             10             1000              Off                0                 
13    C3          13               0.1 µV             10             1000              Off                0                 
14    Cz          14               0.1 µV             10             1000              Off                0                 
15    C4          15               0.1 µV             10             1000              Off                0                 
16    T8          16               0.1 µV             10             1000              Off                0                 
17    TP9         17               0.1 µV             10             1000              Off                0                 
18    CP5         18               0.1 µV             10             1000              Off                0                 
19    CP1         19               0.1 µV             10             1000              Off                0                 
20    CP2         20               0.1 µV             10             1000              Off                0                 
21    CP6         21               0.1 µV             10             1000              Off                0                 
22    TP10        22               0.1 µV             10             1000              Off                0                 
23    P7          23               0.1 µV             10             1000              Off                0                 
24    P3          24               0.1 µV             10             1000              Off                0                 
25    Pz          25               0.1 µV             10             1000              Off                0                 
26    P4          26               0.1 µV             10             1000              Off                0                 
27    P8          27               0.1 µV             10             1000              Off                0                 
28    PO9         28               0.1 µV             10             1000              Off                0                 
29    O1          29               0.1 µV             10             1000              Off                0                 
30    Oz          30               0.1 µV             10             1000              Off                0                 
31    O2          31               0.1 µV             10             1000              Off                0                 
32    PO10        32               0.1 µV             10             1000              Off                0                 
33    AF7         33               0.1 µV             10             1000              Off                0                 
34    AF3         34               0.1 µV             10             1000              Off                0                 
35    AF4         35               0.1 µV             10             1000              Off                0                 
36    AF8         36               0.1 µV             10             1000              Off                0                 
37    F5          37               0.1 µV             10             1000              Off                0                 
38    F1          38               0.1 µV             10             1000              Off                0                 
39    F2          39               0.1 µV             10             1000              Off                0                 
40    F6          40               0.1 µV             10             1000              Off                0                 
41    FT9         41               0.1 µV             10             1000              Off                0                 
42    FT7         42               0.1 µV             10             1000              Off                0                 
43    FC3         43               0.1 µV             10             1000              Off                0                 
44    FC4         44               0.1 µV             10             1000              Off                0                 
45    FT8         45               0.1 µV             10             1000              Off                0                 
46    FT10        46               0.1 µV             10             1000              Off                0                 
47    C5          47               0.1 µV             10             1000              Off                0                 
48    C1          48               0.1 µV             10             1000              Off                0                 
49    C2          49               0.1 µV             10             1000              Off                0                 
50    C6          50               0.1 µV             10             1000              Off                0                 
51    TP7         51               0.1 µV             10             1000              Off                0                 
52    CP3         52               0.1 µV             10             1000              Off                0                 
53    CPz         53               0.1 µV             10             1000              Off                0                 
54    CP4         54               0.1 µV             10             1000              Off                0                 
55    TP8         55               0.1 µV             10             1000              Off                0                 
56    P5          56               0.1 µV             10             1000              Off                0                 
57    P1          57               0.1 µV             10             1000              Off                0                 
58    P2          58               0.1 µV             10             1000              Off                0                 
59    P6          59               0.1 µV             10             1000              Off                0                 
60    PO7         60               0.1 µV             10             1000              Off                0                 
61    PO3         61               0.1 µV             10             1000              Off                0                 
62    POz         62               0.1 µV             10             1000              Off                0                 
63    PO4         63               0.1 µV             10             1000              Off                0                 
64    PO8         64               0.1 µV             10             1000              Off                0                 
